ID,Name,PNR,OriginAirport,DestinationAirport,IATA,FlightNumber,FlightDate,CheckDate,IsSuccess,ErrorReason,Type
1441929,U*** M***,E3*****,ESB,SAW,PC,2285,226,2025-08-14 13:10:56,1,,DI
1497624,D*** L***,PM*****,IST,SAW,VF,3121,226,2025-08-14 13:13:23,1,,DD
1493353,J*** J***,ET*****,ESB,SAW,TK,4071,226,2025-08-14 13:13:26,1,,DI
1433788,Z*** D***,EV*****,DLM,AMS,VF,3121,226,2025-08-14 13:13:46,1,,DI
1448641,E*** K***,EW*****,DLM,ESB,ZF,4071,226,2025-08-14 13:13:53,1,,DI
1446604,I*** D***,PM*****,SAW,GYD,HV,3121,226,2025-08-14 13:13:59,1,,DD
1465978,N*** N***,PM*****,IST,ESB,VF,2555,226,2025-08-14 13:14:21,1,,DD
1444582,K*** I***,EY*****,SAW,IST,VF,2285,226,2025-08-14 13:14:26,1,,DD
1488338,Z*** E***,EW*****,ESB,ESB,TK,2285,226,2025-08-14 13:14:29,1,,DI
1480529,F*** F***,EV*****,ESB,AMS,VF,2555,226,2025-08-14 13:14:33,1,,DD
1493528,B*** O***,EW*****,SAW,AMS,TK,4071,226,2025-08-14 13:14:53,1,,DI
1448763,G*** V***,EW*****,DLM,ESB,J2,2555,226,2025-08-14 13:15:11,1,,DI
1400358,X*** Z***,EW*****,IST,AMS,J2,404,226,2025-08-14 13:15:13,1,,DI
1412462,P*** S***,E3*****,IST,GYD,TK,2285,226,2025-08-14 13:15:15,1,,DI
1482456,R*** G***,PM*****,ESB,AMS,ZF,2555,226,2025-08-14 13:15:36,1,,DI
1410122,T*** Y***,E3*****,SAW,GYD,HV,4071,226,2025-08-14 13:15:52,1,,DD
1405603,W*** P***,EW*****,ESB,ESB,J2,3121,226,2025-08-14 13:15:54,1,,DI
1468434,V*** N***,E3*****,ESB,ESB,J2,2555,226,2025-08-14 13:16:16,1,,DI
1460485,V*** A***,EV*****,DLM,ESB,J2,062,226,2025-08-14 13:16:26,1,,DD
1440977,O*** Y***,EY*****,ESB,SAW,HV,2285,226,2025-08-14 13:16:32,1,,DD
1470719,X*** F***,ET*****,ESB,IST,PC,4071,226,2025-08-14 13:16:36,1,,DI
1440610,V*** M***,E3*****,IST,IST,ZF,062,226,2025-08-14 13:17:07,1,,DD
1441929,X*** A***,EV*****,SAW,AMS,ZF,4071,226,2025-08-14 13:17:26,1,,DI
1422632,H*** N***,PM*****,IST,IST,VF,3121,226,2025-08-14 13:17:30,1,,DD
1446290,U*** I***,ET*****,SAW,IST,J2,404,226,2025-08-14 13:17:34,1,,DI
1405427,P*** H***,EY*****,ESB,ESB,PC,404,226,2025-08-14 13:17:38,1,,DI
1490906,O*** K***,ET*****,IST,SAW,TK,2285,226,2025-08-14 13:17:42,1,,DD
1499130,N*** C***,E3*****,IST,IST,J2,2555,226,2025-08-14 13:17:52,1,,DD
1452918,F*** T***,EY*****,ESB,SAW,TK,062,226,2025-08-14 13:18:07,1,,DI
1463681,A*** E***,EY*****,IST,AMS,J2,3121,226,2025-08-14 13:18:11,1,,DI
1422390,G*** T***,E3*****,DLM,SAW,TK,404,226,2025-08-14 13:18:19,1,,DD
1466031,X*** I***,EV*****,SAW,ESB,HV,2555,226,2025-08-14 13:18:28,1,,DI
1486474,R*** V***,EV*****,SAW,SAW,HV,062,226,2025-08-14 13:18:41,1,,DD
1450511,V*** D***,EW*****,DLM,AMS,J2,062,226,2025-08-14 13:18:49,1,,DI
1418078,H*** J***,ET*****,IST,ESB,TK,2555,226,2025-08-14 13:18:50,1,,DD
1439832,M*** Z***,E3*****,IST,GYD,VF,062,226,2025-08-14 13:18:58,1,,DI
1407128,X*** L***,EV*****,DLM,ESB,TK,3121,226,2025-08-14 13:19:03,1,,DI
1454437,K*** H***,PM*****,IST,GYD,J2,2285,226,2025-08-14 13:19:06,1,,DI
1456809,Q*** M***,E3*****,IST,AMS,HV,404,226,2025-08-14 13:19:08,1,,DI
1438198,Z*** V***,EV*****,DLM,IST,ZF,062,226,2025-08-14 13:19:16,1,,DD
1447872,R*** I***,ET*****,IST,IST,VF,404,226,2025-08-14 13:19:37,0,Bilet Tarihi Uyumsuz!,DD
1468211,T*** B***,EY*****,DLM,GYD,PC,2555,226,2025-08-14 13:19:52,1,,DI
1482119,Y*** J***,EW*****,IST,IST,TK,404,226,2025-08-14 13:20:01,1,,DD
1428011,K*** V***,ET*****,IST,AMS,J2,4071,226,2025-08-14 13:20:10,1,,DD
1402006,N*** J***,E3*****,IST,GYD,PC,2285,226,2025-08-14 13:20:40,1,,DD
1496987,S*** Z***,EW*****,IST,SAW,VF,404,226,2025-08-14 13:20:44,1,,DI
1434352,H*** F***,ET*****,IST,AMS,ZF,2555,226,2025-08-14 13:20:47,1,,DI
1444742,I*** Q***,E3*****,IST,GYD,VF,4071,226,2025-08-14 13:20:50,1,,DI
1495280,R*** L***,EW*****,ESB,IST,VF,404,226,2025-08-14 13:21:05,1,,DD
1488772,S*** G***,EW*****,IST,AMS,VF,062,226,2025-08-14 13:21:22,1,,DD
1423703,Z*** F***,E3*****,IST,IST,TK,2285,226,2025-08-14 13:21:26,1,,DI
1459087,D*** A***,EV*****,IST,ESB,ZF,404,226,2025-08-14 13:21:28,1,,DI
1484480,S*** X***,E3*****,SAW,GYD,ZF,404,226,2025-08-14 13:21:44,1,,DI
1423613,V*** V***,EV*****,DLM,IST,TK,404,226,2025-08-14 13:21:52,1,,DI
1473281,E*** J***,EY*****,ESB,SAW,HV,404,226,2025-08-14 13:21:57,1,,DI
1450516,K*** B***,E3*****,ESB,SAW,PC,062,226,2025-08-14 13:22:14,1,,DD
1495712,D*** D***,EV*****,ESB,AMS,PC,2285,226,2025-08-14 13:22:18,1,,DI
1429517,E*** U***,EV*****,DLM,ESB,PC,4071,226,2025-08-14 13:22:28,1,,DI
1493593,A*** N***,EV*****,IST,GYD,ZF,4071,226,2025-08-14 13:22:34,0,Bilet Tarihi Uyumsuz!,DD
1439286,K*** Y***,E3*****,IST,GYD,ZF,404,226,2025-08-14 13:22:38,1,,DD
1496630,V*** W***,EV*****,IST,SAW,PC,2555,226,2025-08-14 13:22:40,0,Uçuş Bulunamadı!,DD
1417930,Q*** V***,EV*****,DLM,ESB,PC,2285,226,2025-08-14 13:22:43,1,,DD
1445918,B*** Z***,EW*****,DLM,ESB,PC,062,226,2025-08-14 13:22:57,0,PNR Geçersiz!,DD
1408575,W*** K***,EV*****,IST,SAW,PC,404,226,2025-08-14 13:23:21,1,,DD
1481133,V*** V***,EV*****,DLM,SAW,ZF,404,226,2025-08-14 13:23:40,1,,DD
1451073,E*** D***,PM*****,DLM,GYD,J2,3121,226,2025-08-14 13:23:57,1,,DD
1406975,D*** D***,PM*****,DLM,SAW,HV,2555,226,2025-08-14 13:24:00,0,PNR Geçersiz!,DD
1427431,A*** P***,EY*****,DLM,SAW,J2,4071,226,2025-08-14 13:24:17,1,,DD
1436621,A*** T***,EV*****,ESB,IST,ZF,3121,226,2025-08-14 13:24:19,1,,DI
1464709,V*** M***,PM*****,IST,GYD,HV,2285,226,2025-08-14 13:24:47,1,,DI
1421943,B*** I***,ET*****,IST,GYD,VF,2555,226,2025-08-14 13:24:48,1,,DI
1426056,L*** Q***,EV*****,IST,GYD,VF,3121,226,2025-08-14 13:24:59,1,,DI
1409002,A*** I***,EV*****,ESB,SAW,TK,062,226,2025-08-14 13:25:15,1,,DD
1499195,X*** G***,E3*****,ESB,AMS,HV,404,226,2025-08-14 13:25:28,0,Uçuş Bulunamadı!,DI
1406489,N*** F***,E3*****,SAW,SAW,PC,3121,226,2025-08-14 13:25:57,1,,DD
1464223,U*** M***,ET*****,IST,GYD,VF,3121,226,2025-08-14 13:26:02,0,Bilet Tarihi Uyumsuz!,DI
1472328,K*** H***,E3*****,DLM,IST,ZF,404,226,2025-08-14 13:26:03,1,,DI
1475300,B*** A***,E3*****,ESB,IST,ZF,3121,226,2025-08-14 13:26:07,1,,DD
1456028,B*** Q***,EW*****,ESB,ESB,VF,404,226,2025-08-14 13:26:19,1,,DD
1423632,Y*** K***,ET*****,DLM,SAW,PC,4071,226,2025-08-14 13:26:22,1,,DI
1406560,N*** Q***,EV*****,SAW,AMS,TK,404,226,2025-08-14 13:26:27,1,,DD
1480243,A*** O***,EY*****,ESB,GYD,VF,4071,226,2025-08-14 13:26:41,1,,DD
1478461,C*** S***,EW*****,DLM,IST,ZF,4071,226,2025-08-14 13:26:44,1,,DI
1464820,U*** P***,ET*****,ESB,ESB,TK,062,226,2025-08-14 13:26:48,1,,DD
1496158,A*** G***,PM*****,SAW,ESB,HV,4071,226,2025-08-14 13:26:49,1,,DD
1491151,G*** X***,E3*****,ESB,AMS,VF,2285,226,2025-08-14 13:26:54,1,,DD
1474777,E*** E***,EW*****,ESB,GYD,PC,404,226,2025-08-14 13:27:11,1,,DD
1407177,Q*** N***,PM*****,SAW,IST,PC,2285,226,2025-08-14 13:27:22,1,,DD
1415425,T*** K***,EW*****,SAW,GYD,HV,3121,226,2025-08-14 13:27:27,1,,DD
1414951,P*** Q***,EW*****,SAW,GYD,PC,4071,226,2025-08-14 13:27:31,1,,DI
1458835,V*** R***,ET*****,ESB,GYD,VF,062,226,2025-08-14 13:27:36,1,,DD
1490846,Q*** U***,E3*****,IST,ESB,TK,404,226,2025-08-14 13:27:55,1,,DI
1494569,L*** Z***,PM*****,IST,AMS,J2,2285,226,2025-08-14 13:28:05,1,,DI
1409292,M*** X***,ET*****,SAW,SAW,VF,2555,226,2025-08-14 13:28:06,1,,DD
1482820,G*** Q***,PM*****,IST,IST,HV,2555,226,2025-08-14 13:28:20,1,,DI
1433658,C*** Y***,ET*****,IST,SAW,PC,404,226,2025-08-14 13:28:23,1,,DI
1433946,E*** J***,EV*****,SAW,SAW,ZF,4071,226,2025-08-14 13:28:25,1,,DI
1419376,N*** B***,EY*****,ESB,ESB,HV,2555,226,2025-08-14 13:28:31,1,,DD
1444360,L*** R***,E3*****,IST,SAW,TK,404,226,2025-08-14 13:28:45,1,,DD
1421989,M*** L***,EY*****,SAW,ESB,TK,3121,226,2025-08-14 13:29:09,1,,DI
1458426,R*** M***,PM*****,SAW,AMS,J2,3121,226,2025-08-14 13:29:10,1,,DD
1409366,N*** M***,EW*****,SAW,SAW,ZF,4071,226,2025-08-14 13:29:11,1,,DD
1496829,O*** R***,EV*****,DLM,GYD,ZF,404,226,2025-08-14 13:29:25,1,,DI
1435974,S*** P***,EW*****,IST,AMS,PC,404,226,2025-08-14 13:29:40,1,,DD
1401747,L*** C***,E3*****,SAW,SAW,PC,3121,226,2025-08-14 13:29:42,1,,DD
1490334,R*** T***,EY*****,DLM,ESB,VF,2285,226,2025-08-14 13:29:44,1,,DI
1482544,M*** J***,EY*****,SAW,AMS,PC,062,226,2025-08-14 13:29:50,1,,DI
1426869,Z*** L***,EV*****,SAW,GYD,VF,404,226,2025-08-14 13:30:20,1,,DD
1494867,K*** M***,EW*****,IST,AMS,VF,2555,226,2025-08-14 13:30:24,1,,DI
1418390,U*** F***,EY*****,IST,IST,HV,404,226,2025-08-14 13:30:42,1,,DD
1458558,I*** E***,ET*****,DLM,GYD,J2,4071,226,2025-08-14 13:30:46,1,,DD
1427517,D*** Z***,EV*****,DLM,SAW,HV,2555,226,2025-08-14 13:30:50,1,,DD
1462463,U*** F***,ET*****,SAW,AMS,PC,2285,226,2025-08-14 13:30:52,1,,DI
1417706,U*** Q***,EV*****,ESB,GYD,ZF,404,226,2025-08-14 13:30:53,0,PNR Geçersiz!,DI
1470167,I*** A***,E3*****,SAW,IST,J2,404,226,2025-08-14 13:30:57,1,,DD
1400723,R*** F***,EV*****,IST,ESB,ZF,404,226,2025-08-14 13:30:58,1,,DD
1447867,J*** M***,E3*****,IST,ESB,HV,2555,226,2025-08-14 13:31:16,0,Bilet Tarihi Uyumsuz!,DI
1465604,Q*** L***,ET*****,DLM,IST,TK,404,226,2025-08-14 13:31:18,1,,DD
1420957,H*** K***,EY*****,SAW,GYD,PC,2285,226,2025-08-14 13:31:19,1,,DI
1470495,P*** Q***,E3*****,SAW,ESB,ZF,062,226,2025-08-14 13:31:24,0,PNR Geçersiz!,DI
1467739,S*** F***,EW*****,IST,SAW,J2,404,226,2025-08-14 13:31:28,1,,DD
1451265,L*** M***,E3*****,IST,SAW,J2,062,226,2025-08-14 13:31:53,1,,DD
1400304,T*** U***,ET*****,DLM,IST,J2,4071,226,2025-08-14 13:32:04,1,,DI
1414629,B*** J***,ET*****,ESB,SAW,HV,2555,226,2025-08-14 13:32:06,1,,DI
1441417,T*** Y***,EY*****,DLM,IST,VF,2285,226,2025-08-14 13:32:09,1,,DI
1484397,K*** G***,PM*****,DLM,ESB,HV,2285,226,2025-08-14 13:32:14,1,,DI
1427334,W*** R***,EW*****,ESB,SAW,VF,2285,226,2025-08-14 13:32:33,1,,DD
1439863,H*** F***,ET*****,DLM,AMS,HV,062,226,2025-08-14 13:32:39,1,,DD
1431292,T*** O***,E3*****,ESB,SAW,PC,3121,226,2025-08-14 13:32:45,1,,DD
1421526,T*** K***,EY*****,DLM,SAW,HV,2285,226,2025-08-14 13:32:52,1,,DD
1411612,N*** E***,PM*****,DLM,GYD,PC,3121,226,2025-08-14 13:33:02,1,,DI
1419539,C*** Y***,E3*****,DLM,AMS,PC,3121,226,2025-08-14 13:33:19,1,,DD
1492671,A*** H***,E3*****,SAW,GYD,HV,404,226,2025-08-14 13:33:22,1,,DD
1477414,N*** R***,ET*****,DLM,AMS,J2,2555,226,2025-08-14 13:33:23,1,,DI
1484332,Q*** W***,EV*****,IST,GYD,PC,404,226,2025-08-14 13:33:26,1,,DD
1488282,S*** W***,EY*****,ESB,ESB,PC,2555,226,2025-08-14 13:33:31,1,,DI
1453280,J*** S***,EW*****,ESB,AMS,TK,2285,226,2025-08-14 13:33:37,1,,DI
1401630,Y*** K***,EY*****,DLM,SAW,PC,2285,226,2025-08-14 13:33:41,1,,DI
1444217,M*** B***,E3*****,DLM,IST,VF,062,226,2025-08-14 13:33:51,1,,DD
1446315,W*** G***,EV*****,SAW,GYD,TK,2555,226,2025-08-14 13:33:55,1,,DI
1495157,O*** O***,EY*****,ESB,IST,TK,2285,226,2025-08-14 13:34:06,1,,DI
1414786,A*** O***,ET*****,IST,IST,VF,404,226,2025-08-14 13:34:14,1,,DI
1443407,O*** G***,EW*****,DLM,IST,J2,2285,226,2025-08-14 13:34:16,0,Uçuş Bulunamadı!,DI
1469160,U*** U***,ET*****,SAW,ESB,PC,2285,226,2025-08-14 13:34:19,0,Bilet Kullanılmış!,DI
1421925,A*** Z***,E3*****,SAW,GYD,J2,062,226,2025-08-14 13:34:42,1,,DD
1472853,H*** M***,EW*****,IST,GYD,ZF,4071,226,2025-08-14 13:34:46,1,,DI
1476257,T*** K***,EV*****,IST,GYD,PC,2285,226,2025-08-14 13:35:02,1,,DD
1438795,C*** D***,ET*****,ESB,ESB,TK,404,226,2025-08-14 13:35:03,1,,DI
1465947,X*** O***,E3*****,IST,GYD,TK,4071,226,2025-08-14 13:35:04,0,PNR Geçersiz!,DD
1465964,W*** T***,EW*****,DLM,SAW,ZF,062,226,2025-08-14 13:35:31,1,,DI
1422886,B*** G***,E3*****,SAW,AMS,TK,3121,226,2025-08-14 13:35:42,1,,DI
1449435,B*** B***,E3*****,DLM,SAW,J2,2285,226,2025-08-14 13:36:02,1,,DD
1402395,B*** A***,EW*****,SAW,SAW,HV,4071,226,2025-08-14 13:36:04,1,,DI
1478145,T*** T***,PM*****,DLM,ESB,PC,2285,226,2025-08-14 13:36:14,1,,DI
1455526,L*** O***,PM*****,ESB,IST,VF,404,226,2025-08-14 13:36:19,1,,DI
1417888,R*** B***,PM*****,DLM,SAW,TK,062,226,2025-08-14 13:36:22,1,,DD
1455379,Y*** M***,ET*****,SAW,SAW,HV,062,226,2025-08-14 13:36:26,1,,DI
1420355,Q*** X***,E3*****,ESB,IST,TK,062,226,2025-08-14 13:36:30,1,,DI
1463470,M*** Q***,EW*****,SAW,IST,J2,4071,226,2025-08-14 13:36:34,1,,DI
1467689,Y*** V***,EW*****,IST,ESB,J2,404,226,2025-08-14 13:36:36,1,,DD
1461728,A*** G***,PM*****,DLM,AMS,ZF,2285,226,2025-08-14 13:36:40,1,,DD
1487911,Y*** O***,E3*****,IST,IST,TK,2555,226,2025-08-14 13:36:42,1,,DI
1471915,J*** W***,EY*****,SAW,GYD,VF,062,226,2025-08-14 13:36:52,1,,DD
1401077,N*** U***,E3*****,DLM,AMS,ZF,4071,226,2025-08-14 13:36:56,1,,DI
1400462,F*** J***,EW*****,IST,SAW,TK,2555,226,2025-08-14 13:37:02,1,,DD
1494471,U*** W***,EW*****,DLM,SAW,J2,404,226,2025-08-14 13:37:04,1,,DI
1416922,A*** Z***,EY*****,DLM,SAW,J2,062,226,2025-08-14 13:37:07,1,,DD
1426002,B*** P***,E3*****,DLM,AMS,PC,2555,226,2025-08-14 13:37:16,1,,DI
1468368,I*** V***,ET*****,ESB,ESB,J2,2555,226,2025-08-14 13:37:18,1,,DD
1468823,X*** R***,PM*****,ESB,ESB,PC,2555,226,2025-08-14 13:37:26,1,,DD
1420769,A*** F***,EW*****,DLM,SAW,J2,404,226,2025-08-14 13:37:47,1,,DI
1410046,W*** G***,EV*****,DLM,IST,TK,062,226,2025-08-14 13:38:12,1,,DD
1479818,K*** I***,EV*****,IST,AMS,PC,4071,226,2025-08-14 13:38:24,1,,DD
1447819,Q*** V***,EY*****,IST,GYD,PC,062,226,2025-08-14 13:38:44,1,,DD
1413784,C*** P***,EY*****,DLM,SAW,VF,2555,226,2025-08-14 13:38:49,0,Bilet Kullanılmış!,DD
1488904,D*** B***,EW*****,IST,IST,HV,2285,226,2025-08-14 13:38:50,1,,DD
1452092,T*** R***,EV*****,DLM,AMS,J2,062,226,2025-08-14 13:38:58,0,Bilet Kullanılmış!,DD
1438120,S*** E***,ET*****,ESB,AMS,J2,062,226,2025-08-14 13:39:00,1,,DD
1464972,Y*** E***,E3*****,DLM,AMS,J2,4071,226,2025-08-14 13:39:02,1,,DI
1447340,H*** R***,E3*****,IST,SAW,HV,2555,226,2025-08-14 13:39:22,1,,DD
1467345,X*** V***,ET*****,DLM,IST,HV,3121,226,2025-08-14 13:39:34,1,,DI
1442245,O*** K***,E3*****,DLM,AMS,PC,404,226,2025-08-14 13:39:35,1,,DI
1477086,X*** G***,ET*****,ESB,SAW,J2,2555,226,2025-08-14 13:39:40,1,,DI
1470274,Y*** W***,PM*****,SAW,AMS,HV,2555,226,2025-08-14 13:39:49,1,,DI
1483257,W*** G***,PM*****,IST,AMS,VF,062,226,2025-08-14 13:39:59,1,,DD
1412092,V*** I***,E3*****,ESB,SAW,HV,3121,226,2025-08-14 13:40:06,1,,DD
1482489,D*** P***,PM*****,ESB,ESB,ZF,2555,226,2025-08-14 13:40:14,1,,DI
1431179,G*** T***,PM*****,ESB,IST,PC,2555,226,2025-08-14 13:40:19,0,Bilet Kullanılmış!,DI
1468374,Q*** Q***,EV*****,DLM,AMS,VF,4071,226,2025-08-14 13:40:24,1,,DI
1495585,I*** F***,EW*****,DLM,ESB,VF,2555,226,2025-08-14 13:40:33,1,,DI
1457164,Q*** K***,ET*****,IST,ESB,HV,404,226,2025-08-14 13:40:35,1,,DI
1411953,F*** M***,EV*****,ESB,AMS,PC,2285,226,2025-08-14 13:41:00,0,Bilet Tarihi Uyumsuz!,DI
1465114,E*** K***,EV*****,ESB,SAW,ZF,3121,226,2025-08-14 13:41:03,1,,DD
1496232,A*** Y***,EW*****,IST,IST,TK,3121,226,2025-08-14 13:41:05,1,,DD
1492949,I*** M***,PM*****,SAW,IST,HV,062,226,2025-08-14 13:41:24,1,,DI
1416454,P*** K***,E3*****,SAW,ESB,VF,2555,226,2025-08-14 13:41:29,1,,DD
1445772,N*** Y***,PM*****,SAW,IST,TK,3121,226,2025-08-14 13:41:33,1,,DI
1433404,I*** X***,ET*****,DLM,GYD,PC,3121,226,2025-08-14 13:41:50,1,,DI
1419567,Y*** F***,PM*****,IST,AMS,J2,3121,226,2025-08-14 13:42:09,1,,DD
1435721,H*** H***,ET*****,SAW,ESB,PC,062,226,2025-08-14 13:42:11,1,,DI
1419748,O*** R***,PM*****,DLM,AMS,J2,062,226,2025-08-14 13:42:36,1,,DI
1447677,H*** T***,EY*****,DLM,GYD,ZF,404,226,2025-08-14 13:42:51,1,,DD
1496069,Q*** Y***,ET*****,ESB,SAW,PC,2555,226,2025-08-14 13:43:16,1,,DD
1404316,D*** W***,EY*****,IST,SAW,J2,062,226,2025-08-14 13:43:23,1,,DI
1464413,F*** Q***,ET*****,SAW,AMS,TK,404,226,2025-08-14 13:43:42,1,,DI
1482498,U*** B***,E3*****,DLM,GYD,VF,3121,226,2025-08-14 13:43:45,1,,DD
1428554,L*** A***,E3*****,DLM,IST,J2,062,226,2025-08-14 13:43:52,1,,DI
1473256,B*** Z***,EW*****,DLM,GYD,VF,404,226,2025-08-14 13:43:55,1,,DD
1437203,B*** P***,PM*****,DLM,ESB,PC,2285,226,2025-08-14 13:44:09,1,,DI
1427509,U*** H***,ET*****,DLM,AMS,VF,2285,226,2025-08-14 13:44:25,1,,DD
1498136,T*** L***,E3*****,DLM,GYD,ZF,4071,226,2025-08-14 13:44:40,0,PNR Geçersiz!,DD
1402975,D*** Q***,EW*****,DLM,AMS,HV,062,226,2025-08-14 13:45:18,1,,DI
1457949,P*** M***,PM*****,DLM,ESB,TK,2285,226,2025-08-14 13:45:30,1,,DD
1436151,V*** F***,ET*****,ESB,ESB,PC,062,226,2025-08-14 13:46:09,1,,DI
1451776,W*** G***,EW*****,ESB,GYD,ZF,3121,226,2025-08-14 13:46:19,1,,DD
1413705,N*** G***,EV*****,DLM,ESB,J2,2285,226,2025-08-14 13:46:23,1,,DI
1441285,B*** S***,EY*****,SAW,SAW,PC,3121,226,2025-08-14 13:46:31,1,,DI
1439280,E*** M***,PM*****,DLM,IST,PC,404,226,2025-08-14 13:46:32,1,,DI
1437134,F*** V***,PM*****,IST,ESB,HV,404,226,2025-08-14 13:46:47,1,,DD
1404751,X*** Y***,EY*****,ESB,IST,PC,404,226,2025-08-14 13:46:57,1,,DI
1407632,T*** Z***,EV*****,IST,GYD,PC,2285,226,2025-08-14 13:47:10,1,,DD
1453272,B*** R***,EY*****,DLM,ESB,TK,2285,226,2025-08-14 13:47:28,0,Uçuş Bulunamadı!,DD
1499870,L*** B***,ET*****,DLM,AMS,VF,2285,226,2025-08-14 13:47:31,1,,DD
1480350,A*** U***,PM*****,ESB,AMS,PC,062,226,2025-08-14 13:47:36,1,,DI
1499067,D*** M***,EW*****,IST,ESB,TK,062,226,2025-08-14 13:47:38,1,,DI
1423051,Q*** N***,EY*****,SAW,SAW,J2,3121,226,2025-08-14 13:47:40,1,,DD
1446884,K*** W***,PM*****,DLM,IST,VF,3121,226,2025-08-14 13:47:44,1,,DI
1445602,T*** L***,EV*****,DLM,IST,TK,4071,226,2025-08-14 13:47:46,1,,DI
1434657,Q*** O***,PM*****,DLM,SAW,VF,4071,226,2025-08-14 13:47:50,0,Bilet Kullanılmış!,DI
1416786,V*** D***,E3*****,ESB,AMS,J2,062,226,2025-08-14 13:48:30,1,,DD
1490718,N*** I***,EY*****,ESB,GYD,J2,4071,226,2025-08-14 13:48:32,1,,DD
1425853,C*** M***,E3*****,DLM,SAW,TK,062,226,2025-08-14 13:48:36,1,,DD
1451018,K*** L***,EY*****,DLM,SAW,VF,2285,226,2025-08-14 13:48:56,1,,DI
1427772,N*** G***,ET*****,SAW,IST,PC,4071,226,2025-08-14 13:48:58,1,,DD
1400386,A*** D***,PM*****,ESB,IST,VF,404,226,2025-08-14 13:49:08,0,Bilet Tarihi Uyumsuz!,DI
1408990,E*** X***,EV*****,SAW,IST,J2,2555,226,2025-08-14 13:49:14,1,,DD
1422931,I*** G***,PM*****,SAW,GYD,ZF,062,226,2025-08-14 13:49:32,1,,DI
1486944,V*** W***,EY*****,IST,SAW,PC,3121,226,2025-08-14 13:49:39,1,,DD
1493503,G*** I***,PM*****,DLM,GYD,PC,3121,226,2025-08-14 13:49:58,1,,DD
1433239,D*** J***,PM*****,ESB,AMS,PC,2555,226,2025-08-14 13:50:23,1,,DD
1452014,U*** H***,EW*****,DLM,IST,PC,3121,226,2025-08-14 13:50:24,1,,DD
1408679,L*** O***,EV*****,IST,SAW,TK,2555,226,2025-08-14 13:50:29,1,,DD
1457584,U*** V***,E3*****,DLM,IST,J2,3121,226,2025-08-14 13:50:44,1,,DI
1441039,K*** I***,EV*****,DLM,ESB,J2,062,226,2025-08-14 13:51:02,1,,DD
1446815,N*** C***,PM*****,DLM,IST,J2,4071,226,2025-08-14 13:51:06,0,PNR Geçersiz!,DI
1413680,E*** N***,ET*****,SAW,GYD,TK,4071,226,2025-08-14 13:51:14,1,,DD
1497144,G*** O***,EY*****,ESB,ESB,J2,2285,226,2025-08-14 13:51:38,1,,DI
